,Year,COU,Country,Composting%,Disposal%,Landfill%,Material_recovery%,Recovery%,Recycling%,Amt_for_recovery_operations,Composting,Electronic_waste,Household_waste,Landfill,Municipal_waste_generated,Municipal_waste_generated_percapita,Municipal_waste_generated_1990,Municipal_waste_generated_2000,Municipal_waste_treated,Recycling,Total_Incineration,Waste_from_households,Country_y,CO2_emissions_percapita,Female_education_attainment_bach,Male_education_attainment_bach,Total_education_attainment_bach,Energy_use_percapita,Forest_area,GDP_2015_USD,GDP_growth%,GDP_percapita_2015_USD,GDP_percapita_growth%,Education_expense_%_of_gdp,Education_expense_%_of_total_exp,Population_density,Population_growth%,Population_female,Population_female_%,Population_total,Poverty_headcount%_ppp,Poverty_headcount%_national_line,Population_urban%,Population_urban_growth%
15,1990,NZL,New Zealand,,,,,,,,,,,3330.0,3330.0,979.936,100.0,,,,,,New Zealand,6.70010210823473,,,,3854.36602798967,93722.7,87903486462.4557,0.152972926692058,26399.0289093807,-0.767406967462776,,,12.6459306520831,0.92322272881111,1690913,50.7812281592325,3329800,,,84.742,1.20209777275256
16,1990,POL,Poland,,,,,,,,,,,,11098.0,292.359,100.0,90.774,,,,7253.0,Poland,9.18926302797985,,,,2705.60874347842,88820.0,195133033160.897,,5120.15295726277,,,,124.427118090698,0.392398205207372,19552842,51.3052765564179,38110782,,,61.27,0.465870592820303
17,1990,PRT,Portugal,,,,,,,,,,,,3000.0,303.172,100.0,63.768,,,,,Portugal,4.11390395361496,,,,1680.96239108472,33990.0,145478331657.148,3.95052276325154,14572.2883800743,4.17732841718288,3.56972002983093,10.2703504562378,109.106207650273,-0.217948479672573,5177915,51.8661881662089,9983218,,,47.915,0.881671075947156
18,1990,SWE,Sweden,3.125,43.75,43.75,15.625,56.25,12.5,1800.0,100.0,,,1400.0,3200.0,373.51,100.0,84.813,3200.0,400.0,1300.0,,Sweden,6.23332497939264,,,,5514.55753031809,280630.0,295881542676.808,0.754674768666845,34570.3057339939,-0.0207591755191316,5.2121901512146,8.30340003967285,21.0115414726333,0.772602675661167,4330900,50.601508630123,8558835,,,83.1,0.772605482754793
19,1990,USA,United States,2.017,69.751,68.694,15.96,30.249,13.944,57153.0,3810.0,3420.0,,129791.0,188939.0,749.4,100.0,85.549,188940.0,26345.0,28939.0,113363.0,United States,19.4073462781875,,,,7671.7730657832,3024500.0,9811054837000.0,1.88596495668033,39303.4890094262,0.74148609960973,,,27.2545136128993,1.12965052045579,127297431,50.9958743545725,249623000,,,75.3,1.41025628541903
20,1991,AUT,Austria,11.119,57.617,57.617,29.567,42.383,18.448,1174.0,308.0,,,1596.0,3126.0,402.177,97.566,67.284,2770.0,511.0,341.0,2426.0,Austria,8.04911377864628,,,,3415.17308238117,37819.17,248910606082.174,3.44162777669459,32097.2410936755,2.41398645387723,5.10321998596191,11.7502098083496,93.9758967523025,0.998418103144403,4039020,52.0835236361943,7754891,,,62.689,0.567072341992738
21,1991,BEL,Belgium,6.038,70.246,46.311,11.346,29.754,5.308,1222.0,248.0,,,1902.0,,,,,4107.0,218.0,1739.0,,Belgium,11.390890046725,,,,5006.00470628876,7622.8,298835475229.994,1.83307427728701,29870.1477747077,1.45537172593085,,,,0.371593165668169,5108986,51.0669508787832,10004486,,,96.461,0.458708968466601
22,1991,CHE,Switzerland,7.405,17.279,17.279,30.885,82.721,23.479,3351.2,300.0,,,700.0,4131.2,614.87,100.746,87.322,4051.2,951.2,2100.0,2754.1,Switzerland,6.71619819946476,,,,3637.19412033392,11577.68,467107506057.065,-0.915816589200674,68692.502542959,-2.14648984236308,4.54125022888184,17.1725902557373,172.025044903742,1.24982602441627,3479955,51.1759806561214,6799978,,,73.869,1.1726886114345
23,1991,CHN,China (People's Republic of),,,,,,,,,,,,76360.0,,112.845,64.608,,,,,China,2.00053876501156,,,,736.851801386885,1591265.86,1122541231136.09,9.26278608406234,975.461192526886,7.78209199050757,,,122.102948962669,1.36443400840349,560312586,48.6898091896642,1150780000,,,27.312,4.60168513214318
24,1991,ESP,Spain,14.701,80.941,79.711,15.37,19.059,0.669,2460.13,1897.53,,12907.91,10289.07,,,,,12907.91,86.41,634.91,,Spain,5.6997858871967,,,,2397.71417285508,142235.87,756088024241.991,2.54600054810226,19403.6013059565,2.2853247403676,3.74235010147095,10.0319404602051,78.0201345506968,0.254527424551043,19883346,51.0269311386696,38966376,,,75.528,0.489150366024034
